V1,V2,weight
rayleon1515,hectorcorleone,2
ChiveraEl,heidy_rivas,2
lordsarogel,Helena1985MX,2
RosieRocio81,HernanGomezB,2
MGoicocheaV,HijoAlbanil,2
reneduard,hipergorila,2
Konducta4LFE,historic_ly,2
xoel_fv,historyofarmani,2
MariaCarrascoA1,hoeg1,2
RobertaAAvery,HRF,2
DavidHeap,HRF,2
Magnotus,hrw_espanol,2
CliveWismayer,Iancoll94354676,2
quiquebollati,ierrejon,2
GustavoTorricoU,IglesiasDiego,2
rayleon1515,Ignacio49830930,2
qanwarb,IndyVoices,2
betoBJs,infobae,2
Casanay1910,infobaeamerica,2
EbonGrace,introvertgay,2
Amp_Bald63,InvisiblesMuros,2
t_taeki,iriartecesar,2
pelurabar,IvanDuque,2
JhonnyL65,IvanDuque,2
Mal_Hechor,ivanmoreirab,2
jvargashardy,ivanmoreirab,2
AndreaG83483797,ivetteisabel,2
Karlmarxhd,jacobin,2
CarranzaPachu,JaimeAparicioOt,2
martinmirandaj,jaimebaylys,2
Mike_from_PA,jamie_elizabeth,2
Omar_r47m4ch1n3,JanainaDoBrasil,2
bigneon_glitter,janeosanders,2
Tori_DLCR,janetwagner21,2
ElmerQL1,javier_bmont,2
amggarcia1,Javiermdq2,2
franzkcv,Javito_Yeah,2
milenca_mendez,jczuleta,2
Nabu_codonosor,jczuleta,2
milenca_mendez,jczuleta,2
Pablotejerina9,jdbouchez,2
Lolmin3,JeanineAnez,2
alexvillca,JeanineAnez,2
varelacl,JeanineAnez,2
AguilaTezanos,JeanineAnez,2
melygom1,JeanineAnez,2
alopezescarre,JeanineAnez,2
alitapaz,JeanineAnez,2
BoliviaDijoNo19,JeanineAnez,2
viniciuserste,JeovaniDamasce1,2
MLevyT,JFmanzaneda,2
eduardodeamaya,jgamorin,2
BarackGuevara,jguaido,2
OpinaBolivia,Jhonatansoliz5,2
benjogarciacb,JJBH62,2
calcina_patty,JJDiazMachuca,2
pantojah,JJDiazMachuca,2
pOmPeYa_studyng,JJDiazMachuca,2
ClaudaAntezana,JJDiazMachuca,2
JoseLuis210880z,JJDiazMachuca,2
bcm4270,JJDiazMachuca,2
SilverioElienai,jmb22em2022,2
OctavioAparic13,jmkarg,2
RoanaBuenavent1,jmravelo,2
